Year,Act Name,,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/navs54334.pdf"",""Naval and Victualling Stores (Chapter 54)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/boh55267.pdf"",""Betting on Horse-Racing (Chapter 55)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/poh56326.pdf"",""Publications on Horse-Racing (Chapter 56)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/l57178.pdf"",""Lotteries (Chapter 57)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pc58279.pdf"",""Prize Competitions (Chapter 58)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/g59109.pdf"",""Gaming (Chapter 59)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/da61221.pdf"",""Dangerous Animals (Chapter 61)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/lios62437.pdf"",""Labour Inspections (Maintenance of Secrecy) (Chapter 62)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/doaal63363.pdf"",""Declartion of Assets and Liabilities (Chapter 63)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/e64123.pdf"",""Excise (Chapter 64)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/p66167.pdf"",""Prisons (Chapter 66)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pwf67292.pdf"",""Prisoners’ Welfare Fund (Chapter 67)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/mwp68333.pdf"",""Married Women’s Property (Chapter 68)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/mrai69364.pdf"",""Matrimonial Rights and Inheritance (Chapter 69)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/mrai70396.pdf"",""Matrimonial Rights and Inheritance (Jaffna) (Chapter 70)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/kl71160.pdf"",""Kandyan Law (Chapter 71)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/mis72383.pdf"",""Muslim Interstate Succession (Chapter 72)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/t73188.pdf"",""The “Tesawalamai” (Chapter 73)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/tp74286.pdf"",""Thesawalamai Pre-emption (Chapter 74)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/w75134.pdf"",""Wills (Chapter 75)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/aoc76234.pdf"",""Adoption of Children (Chapter 76)"")",,,
